نوع الدوري,الفريق الاول,الفريق الثاني,النتيجة
الدوري المصري,سيراميكا كليوباترا,الأهلي,
كأس مصر,الزمالك,بيراميدز,
سوبر جلوب لكرة اليد,النجمة,سان فرانسيسكو كالهيت,
سوبر جلوب لكرة اليد,سان فيرناندو,فوكس برلين,
سوبر جلوب لكرة اليد,نادي النور,برشلونة,
سوبر جلوب لكرة اليد,الخليج ,جامعة كوينزلاند,
دوري أبطال أوروبا,نابولي,يونيون برلين,
دوري أبطال أوروبا,ريال سوسيداد,بنفيكا,
دوري أبطال أوروبا,إيندهوفن,لانس,
دوري أبطال أوروبا,كوبنهاجن,مانشستر يونايتد,
دوري أبطال أوروبا,أرسنال,اشبيلية ,
دوري أبطال أوروبا,ريد بول سالزبورج,إنتر ميلان	,
دوري أبطال أوروبا,بايرن ميونيخ,جالاتا سراي,
دوري أبطال أوروبا,ريال مدريد,سبورتينج براجا,
دوري أبطال آسيا,ملبورن سيتي,بوريرام,
دوري أبطال آسيا,ليون سيتي سيلورز,تشونبك هيونداي,
دوري أبطال آسيا,فنتفوريت كوفو,جيجيانج,
دوري أبطال آسيا,بوهانج,اوراوا ريد دياموندز,
دوري أبطال آسيا,بانكوك يونايتد,كيتشي,
دوري أبطال آسيا,هانوي تي تي,ووهان ثري تاونز,
الدوري التونسي,البنزرتي,الترجى الرياضي,
